METROPOLITAN_CITY,STATE,COUNTRY,MEETUP_GROUP_MEMBERS_URL
New_York,NY,US,site:https://www.meetup.com/TechFam/members/
New_York,NY,US,site:https://www.meetup.com/blackdevelopers/members/
New_York,NY,US,site:https://www.meetup.com/Ladies-That-UX-NYC/members/
New_York,NY,US,site:https://www.meetup.com/Minority-Technology-Mentors-Initiative/members/
New_York,NY,US,site:https://www.meetup.com/WomenWhoCodeNYC/members/
New_York,NY,US,site:https://www.meetup.com/NYC-Women-in-Machine-Learning-Data-Science/members/
New_York,NY,US,site:https://www.meetup.com/queer-tech/members/
New_York,NY,US,site:https://www.meetup.com/VetsinTech-New-York/members/
New_York,NY,US,site:https://www.meetup.com/blockchainforsocialimpactny/members/
New_York,NY,US,site:https://www.meetup.com/Jersey-City-JPMorgan-Chase-Co-Technology-Events/members/
Philadelphia,PA,US,site:https://www.meetup.com/TechInColor/members/
Pittsburgh,PA,US,site:https://www.meetup.com/Pittsburgh-Innovation-Meetup/members/
San_Fransisco,CA,US,site:https://www.meetup.com/opentechschool-san-francisco/members/
San_Fransisco,CA,US,site:https://www.meetup.com/Bay-Area-Black-Latinos-In-Tech/members/
San_Fransisco,CA,US,site:https://www.meetup.com/Maven-Diversity-in-Tech-Women-Level-Up/members
San_Fransisco,CA,US,site:https://www.meetup.com/SanFranciscoWomenandDiversityInTech/members/
San_Fransisco,CA,US,site:https://www.meetup.com/absolutelyfabulousnapavalley/members
San_Fransisco,CA,US,site:https://www.meetup.com/DeveloperCamp/members
San_Fransisco,CA,US,site:https://www.meetup.com/Black-Professionals-in-Solano-County/members
San_Fransisco,CA,US,site:https://www.meetup.com/InternationalfriendsinSFO/members
San_Fransisco,CA,US,site:https://www.meetup.com/ModVation-diversityventures/members
San_Fransisco,CA,US,site:https://www.meetup.com/Bay-Area-Black-MultiLinguals-Spanish-Conversation/members
San_Fransisco,CA,US,site:https://www.meetup.com/SFSEAexpat/members
San_Fransisco,CA,US,site:https://www.meetup.com/PyLadiesSF/members
San_Fransisco,CA,US,site:https://www.meetup.com/San-Francisco-Women-in-Data/members
San_Fransisco,CA,US,site:https://www.meetup.com/San-Francisco-for-Her/members
San_Fransisco,CA,US,site:https://www.meetup.com/BAnerdGirls/members
San_Fransisco,CA,US,site:https://www.meetup.com/BNI-Motivators-Business-Networking-International-Group/members
San_Fransisco,CA,US,site:https://www.meetup.com/Brainbabe-Ambassadors/members
San_Fransisco,CA,US,site:https://www.meetup.com/San-Francisco-Women-in-Crypto-Meet-Up/members
San_Fransisco,CA,US,site:https://www.meetup.com/Research-Collaborations-Without-Border-RCWB/members
San_Fransisco,CA,US,site:https://www.meetup.com/Persian-Women-In-Tech/members
San_Fransisco,CA,US,site:https://www.meetup.com/Women-in-Infrastructure/members
San_Fransisco,CA,US,site:https://www.meetup.com/Internationally-Diverse-Masterminds-Professional-Network/members
San_Fransisco,CA,US,site:https://www.meetup.com/NATIVE-Native-American-Tech-Investors-Venture-Entrepreneurs/members
San_Fransisco,CA,US,site:https://www.meetup.com/Coding_in_Color/members
San_Fransisco,CA,US,site:https://www.meetup.com/Ladies-Who-Linux-Bay-Area/members
San_Fransisco,CA,US,site:https://www.meetup.com/Data-Driven-Women/members
San_Fransisco,CA,US,site:https://www.meetup.com/rladies-san-francisco/members
San_Fransisco,CA,US,site:https://www.meetup.com/SFIncome/members
San_Fransisco,CA,US,site:https://www.meetup.com/GE-Women-in-IOT/members
San_Fransisco,CA,US,site:https://www.meetup.com/TechYesBayArea/members
San_Fransisco,CA,US,site:https://www.meetup.com/Hirekind-Elevating-Diverse-Talent-in-Tech/members
San_Fransisco,CA,US,site:https://www.meetup.com/Bay-Area-Black-Latinos-In-Tech/members
San_Fransisco,CA,US,site:https://www.meetup.com/TranscodeSF/members
San_Fransisco,CA,US,site:https://www.meetup.com/BOLD-Bay-area-Organization-of-Ladies-in-big-Data/members
San_Fransisco,CA,US,site:https://www.meetup.com/Ladies-Technically-Speaking-Bay-Area/members
Seattle,WA,US,site:https://www.meetup.com/Seattle-500-Women-Scientists/members/
Seattle,WA,US,site:https://www.meetup.com/IncludeSeattle/members/
Seattle,WA,US,site:https://www.meetup.com/SeattleDiversityandInclusion/members/
Seattle,WA,US,site:https://www.meetup.com/Seattle-PyLadies/members/
Seattle,WA,US,site:https://www.meetup.com/Women-Who-Code-Seattle/members/ 
Seattle,WA,US,site:https://www.meetup.com/Ladies-that-UX-Seattle/members/ 
Seattle,WA,US,site:https://www.meetup.com/seaDUXX/members/ 
Seattle,WA,US,site:https://www.meetup.com/seattletransgender/members/ 
Seattle,WA,US,site:https://www.meetup.com/Seattle-Transisters/ 
Seattle,WA,US,site:https://www.meetup.com/rladies-seattle/members/ 
Seattle,WA,US,site:https://www.meetup.com/Geek-Girls-Carrots/members/
Springfield,MO,US,site:https://www.meetup.com/Springfield-Women-In-Technology/members/
Washington,DC,US,site:https://www.meetup.com/colorcoded/members/
Washington,DC,US,site:https://www.meetup.com/Diversity-Science-Network/members/
